GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,16,8,0,0,4,4,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,6,3,0,0,3,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,62,0,4,0,18,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,100,1,7,0,27,1,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,63,0,4,0,18,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,62,0,4,0,18,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,62,0,4,0,18,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,62,0,4,0,18,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,PasswordValidationService,5,14,1,1,1,5,2,1,1,1
spring-boot-skeleton,com.nnk.springboot.service.Impl,RuleNameServiceImpl,0,168,0,8,0,36,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,BidListServiceImpl,0,168,0,8,0,34,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,TradeServiceImpl,0,168,0,8,0,34,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,CurvePointServiceImpl,0,168,0,8,0,34,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,RatingServiceImpl,0,172,0,8,0,35,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,UserServiceImpl,0,206,0,8,0,42,0,12,0,8
spring-boot-skeleton,com.nnk.springboot.service.Impl,UserDetailsServiceImpl,0,50,0,2,0,10,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.configuration,AuthSuccessHandler,36,90,6,6,9,22,5,6,1,4
spring-boot-skeleton,com.nnk.springboot.configuration,SecurityConfig,0,95,0,0,0,23,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.configuration,UserRole,0,24,0,0,0,3,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.configuration,PasswordConfig,0,8,0,0,0,2,0,2,0,2
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,53,0,0,0,14,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,73,0,0,0,18,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,BidList,130,39,0,0,18,12,37,9,37,9
spring-boot-skeleton,com.nnk.springboot.domain,Trade,123,39,0,0,17,12,35,9,35,9
spring-boot-skeleton,com.nnk.springboot.domain,User,0,53,0,0,0,14,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,43,0,0,2,12,4,10,4,10
